seed,A_S,A_P,A_O,B_S,B_P,B_O
1000,1.0,0.5,0.0,0.0,0.0,0.0
1001,1.0,0.5,0.10810810810810811,0.0,0.0,0.0
1002,1.0,0.5,0.1,0.0,0.0,0.0
1003,1.0,1.0,0.15789473684210525,0.0,0.0,0.0
1004,1.0,0.5,0.0,0.0,0.0,0.0
1005,1.0,1.0,0.09375,0.0,0.0,0.0
1006,1.0,0.5,0.0,0.0,0.0,0.0
1007,1.0,0.5,0.11428571428571428,0.0,0.0,0.13636363636363635
1008,1.0,1.0,0.1875,0.0,0.0,0.0
1009,1.0,0.5,0.0,0.0,0.0,0.0
1010,1.0,1.0,0.0,0.0,0.0,0.0
1011,1.0,1.0,0.0,0.0,0.0,0.0
1012,1.0,1.0,0.0,0.0,0.0,0.0
1014,1.0,1.0,0.0,0.0,0.0,0.0
1015,1.0,0.5,0.0,0.0,0.0,0.0
1016,1.0,1.0,0.0,0.0,0.0,0.0
1017,1.0,1.0,0.0,0.0,0.0,0.3333333333333333
1019,1.0,0.5,0.125,0.0,0.0,0.0
1020,1.0,1.0,0.0,0.0,0.0,0.0
1021,1.0,1.0,0.0,0.0,0.0,0.0
1022,1.0,1.0,0.13333333333333333,0.0,0.0,0.0
1025,1.0,1.0,0.14814814814814814,0.0,0.0,0.0
1026,1.0,1.0,0.0,0.0,0.0,0.2
1027,1.0,1.0,0.0,0.0,0.0,0.0
1028,1.0,1.0,0.08571428571428572,0.0,0.0,0.0
1031,1.0,1.0,0.09090909090909091,0.0,0.0,0.0
1032,1.0,1.0,0.08571428571428572,0.0,0.0,0.0
1033,1.0,0.5,0.11764705882352941,0.0,0.0,0.0
1034,1.0,1.0,0.0,0.0,0.0,0.0
1035,1.0,0.5,0.0967741935483871,0.0,0.0,0.0
1036,1.0,1.0,0.0,0.0,0.0,0.0
1038,1.0,1.0,0.0,0.0,0.0,0.0
1039,1.0,1.0,0.0,0.0,0.0,0.0
1040,1.0,1.0,0.25,0.0,0.0,0.0
1041,1.0,0.5,0.0,0.0,0.0,0.0
1042,1.0,1.0,0.0,0.0,0.0,0.0
1043,1.0,1.0,0.0,0.0,0.0,0.0
1044,1.0,1.0,0.2,0.0,0.0,0.0
1046,1.0,1.0,0.1,0.0,0.0,0.0
1048,1.0,1.0,0.0,0.0,0.0,0.0
1049,1.0,1.0,0.0,0.0,0.0,0.0
1051,1.0,1.0,0.09375,0.0,0.0,0.0
1052,1.0,1.0,0.0,0.0,0.0,0.0
1053,1.0,1.0,0.0,0.0,0.0,0.0
1054,1.0,0.5,0.1111111111111111,0.0,0.0,0.0
1055,1.0,1.0,0.18181818181818182,0.0,0.0,0.0
1056,1.0,0.5,0.0,0.0,0.0,0.0
1057,1.0,1.0,0.0,0.0,0.0,0.0
1058,1.0,1.0,0.11764705882352941,0.0,0.0,0.0
1064,1.0,1.0,0.12121212121212122,0.0,0.0,0.0
1067,1.0,0.5,0.0,0.0,0.0,0.0
1068,1.0,0.5,0.0,0.0,0.0,0.0
1069,1.0,1.0,0.0,0.0,0.0,0.0
1070,1.0,0.5,0.0,0.0,0.0,0.0
1071,1.0,1.0,0.10344827586206896,0.0,0.0,0.0
1072,1.0,0.5,0.0,0.0,0.0,0.0
1073,1.0,1.0,0.0,0.0,0.0,0.0
1074,1.0,1.0,0.0,0.0,0.0,0.0
1075,1.0,0.5,0.0,0.0,0.0,0.0
1077,1.0,1.0,0.0967741935483871,0.0,0.0,0.0
1078,1.0,1.0,0.0,0.0,0.0,0.0
1080,1.0,0.5,0.17647058823529413,0.0,0.0,0.0
1082,1.0,0.5,0.08108108108108109,0.0,0.0,0.0
1084,1.0,1.0,0.0,0.0,0.0,0.0
1085,1.0,1.0,0.09090909090909091,0.0,0.0,0.0
1086,1.0,1.0,0.0,0.0,0.0,0.0
1087,1.0,1.0,0.0,0.0,0.0,0.0
1089,1.0,1.0,0.17647058823529413,0.0,0.0,0.0
1090,1.0,0.5,0.0,0.0,0.0,0.0
1091,1.0,1.0,0.0,0.0,0.0,0.0
1092,1.0,1.0,0.1,0.0,0.0,0.0
1093,1.0,1.0,0.30434782608695654,0.0,0.0,0.0
1094,1.0,0.5,0.11764705882352941,0.0,0.0,0.0
1095,1.0,1.0,0.0,0.0,0.0,0.0
1096,1.0,1.0,0.0,0.0,0.0,0.0
1097,1.0,1.0,0.08571428571428572,0.0,0.0,0.0
1098,1.0,0.5,0.08571428571428572,0.0,0.0,0.0
1099,1.0,1.0,0.09375,0.0,0.0,0.0
