seed,lambda,ok,moves,trigger_overlap,time_s
2000,0.0,True,30,0.0,1.748
2000,0.5,True,31,0.2258,3.987
2000,1.0,True,31,0.2258,6.644
2001,0.0,True,19,0.0,0.269
2001,0.5,True,29,0.4483,0.776
2001,1.0,True,29,0.4483,1.072
2002,0.0,True,27,0.0,1.645
2002,0.5,True,30,0.2333,2.316
2002,1.0,True,30,0.2333,3.661
2003,0.0,True,26,0.1154,0.184
2003,0.5,True,27,0.2222,3.196
2003,1.0,True,28,0.5714,0.624
2004,0.0,True,28,0.1071,0.55
2004,0.5,True,26,0.1154,0.799
2004,1.0,True,26,0.5385,0.197
2005,0.0,True,26,0.0,0.511
2005,0.5,True,26,0.0,1.689
2005,1.0,True,28,0.1071,0.927
2006,0.0,True,26,0.2692,0.717
2006,0.5,True,26,0.2692,1.022
2006,1.0,True,26,0.2692,1.746
2007,0.0,True,28,0.1429,1.43
2007,0.5,True,19,0.4211,1.173
2007,1.0,True,17,0.4706,0.164
2008,0.0,True,25,0.16,0.846
2008,0.5,True,25,0.16,1.656
2008,1.0,True,25,0.16,2.179
2009,0.0,True,26,0.3077,0.381
2009,0.5,True,27,0.2222,1.709
2009,1.0,True,27,0.2222,2.884
2010,0.0,True,25,0.0,1.738
2010,0.5,True,23,0.4348,4.356
2010,1.0,True,24,0.2917,3.387
2011,0.0,False,,,18.388
2011,0.5,True,21,0.1429,5.882
2011,1.0,True,21,0.1429,2.822
2012,0.0,True,24,0.1667,0.718
2012,0.5,True,22,0.1364,1.348
2012,1.0,True,22,0.1364,2.074
2013,0.0,True,28,0.0,1.656
2013,0.5,True,30,0.1,5.774
2013,1.0,True,30,0.1,3.342
2014,0.0,True,28,0.1071,2.814
2014,0.5,True,28,0.1071,7.493
2014,1.0,True,28,0.1071,14.68
2015,0.0,True,27,0.0,5.865
2015,0.5,True,27,0.2222,2.495
2015,1.0,True,28,0.1429,1.324
2016,0.0,True,28,0.0,0.885
2016,0.5,True,28,0.0,2.914
2016,1.0,True,28,0.0,4.117
2017,0.0,True,22,0.1364,0.486
2017,0.5,True,23,0.3913,1.084
2017,1.0,True,25,0.28,3.046
2018,0.0,True,23,0.1304,1.031
2018,0.5,True,29,0.1034,1.781
2018,1.0,True,31,0.3226,1.155
2019,0.0,True,27,0.1111,0.768
2019,0.5,True,28,0.25,0.243
2019,1.0,True,28,0.25,0.268
