seed,lambda,cap,ok,moves,trigger_overlap,time_s
2000,0.5,1,True,30,0.0,3.028
2000,0.5,2,True,30,0.0,3.006
2000,0.5,4,True,31,0.2258,2.427
2000,0.5,none,True,31,0.2258,2.324
2001,0.5,1,True,19,0.0,0.355
2001,0.5,2,True,23,0.2609,0.239
2001,0.5,4,True,29,0.4483,0.469
2001,0.5,none,True,29,0.4483,0.473
2002,0.5,1,True,27,0.0,2.677
2002,0.5,2,True,27,0.0,3.125
2002,0.5,4,True,30,0.2333,1.397
2002,0.5,none,True,30,0.2333,1.35
2003,0.5,1,True,26,0.1154,0.296
2003,0.5,2,True,27,0.2222,1.858
2003,0.5,4,True,27,0.2222,1.956
2003,0.5,none,True,27,0.2222,1.922
2004,0.5,1,True,26,0.1154,0.391
2004,0.5,2,True,26,0.1154,0.406
2004,0.5,4,True,26,0.1154,0.449
2004,0.5,none,True,26,0.1154,0.439
2005,0.5,1,True,26,0.0,0.845
2005,0.5,2,True,26,0.0,0.912
2005,0.5,4,True,26,0.0,1.038
2005,0.5,none,True,26,0.0,1.024
2006,0.5,1,True,26,0.2692,0.939
2006,0.5,2,True,26,0.2692,0.628
2006,0.5,4,True,26,0.2692,0.601
2006,0.5,none,True,26,0.2692,0.594
2007,0.5,1,True,28,0.1429,2.144
2007,0.5,2,True,19,0.4211,2.037
2007,0.5,4,True,19,0.4211,0.718
2007,0.5,none,True,19,0.4211,0.722
2008,0.5,1,True,25,0.16,1.243
2008,0.5,2,True,25,0.16,1.019
2008,0.5,4,True,25,0.16,0.996
2008,0.5,none,True,25,0.16,0.966
2009,0.5,1,True,26,0.2692,0.686
2009,0.5,2,True,26,0.2692,0.7
2009,0.5,4,True,27,0.2222,1.052
2009,0.5,none,True,27,0.2222,1.009
2010,0.5,1,True,25,0.0,3.45
2010,0.5,2,True,25,0.0,3.21
2010,0.5,4,True,23,0.4348,2.666
2010,0.5,none,True,23,0.4348,2.599
2011,0.5,1,True,30,0.2333,2.275
2011,0.5,2,True,30,0.2333,2.284
2011,0.5,4,True,21,0.1429,3.715
2011,0.5,none,True,21,0.1429,3.404
2012,0.5,1,True,24,0.1667,0.979
2012,0.5,2,True,24,0.1667,1.016
2012,0.5,4,True,22,0.1364,0.824
2012,0.5,none,True,22,0.1364,0.802
2013,0.5,1,True,28,0.0,2.754
2013,0.5,2,True,28,0.0,2.842
2013,0.5,4,True,30,0.1,3.48
2013,0.5,none,True,30,0.1,3.443
2014,0.5,1,True,28,0.1071,4.6
2014,0.5,2,True,28,0.1071,4.643
2014,0.5,4,True,28,0.1071,4.419
2014,0.5,none,True,28,0.1071,4.435
2015,0.5,1,True,27,0.2222,1.473
2015,0.5,2,True,27,0.2222,1.332
2015,0.5,4,True,27,0.2222,1.439
2015,0.5,none,True,27,0.2222,1.344
2016,0.5,1,True,28,0.0,1.457
2016,0.5,2,True,28,0.0,1.566
2016,0.5,4,True,28,0.0,1.638
2016,0.5,none,True,28,0.0,1.726
2017,0.5,1,True,22,0.1364,0.583
2017,0.5,2,True,22,0.1364,0.638
2017,0.5,4,True,23,0.3913,0.706
2017,0.5,none,True,23,0.3913,0.653
2018,0.5,1,True,23,0.1304,2.016
2018,0.5,2,True,29,0.1034,2.49
2018,0.5,4,True,29,0.1034,1.024
2018,0.5,none,True,29,0.1034,1.001
2019,0.5,1,True,28,0.25,0.307
2019,0.5,2,True,28,0.25,0.287
