seed,lambda,ok,moves,trigger_overlap,time_s
2000,0.0,True,30,0.0,3.289
2000,0.5,True,31,0.2258,7.71
2000,1.0,True,31,0.2258,13.62
2001,0.0,True,19,0.0,0.466
2001,0.5,True,29,0.4483,1.619
2001,1.0,True,29,0.4483,2.149
2002,0.0,True,27,0.0,3.036
2002,0.5,True,30,0.2333,4.563
2002,1.0,True,30,0.2333,7.851
2003,0.0,True,26,0.1154,0.371
2003,0.5,True,27,0.2222,6.393
2003,1.0,True,28,0.5714,1.216
2004,0.0,True,28,0.1071,1.011
2004,0.5,True,26,0.1154,1.454
2004,1.0,True,26,0.5385,0.316
2005,0.0,True,26,0.0,0.982
2005,0.5,True,26,0.0,3.508
2005,1.0,True,28,0.1071,1.852
2006,0.0,True,26,0.2692,1.391
2006,0.5,True,26,0.2692,2.167
2006,1.0,True,26,0.2692,3.571
2007,0.0,True,28,0.1429,2.779
2007,0.5,True,19,0.4211,2.331
2007,1.0,True,17,0.4706,0.319
2008,0.0,True,25,0.16,1.547
2008,0.5,True,25,0.16,3.323
2008,1.0,True,25,0.16,4.313
2009,0.0,True,26,0.3077,0.774
2009,0.5,True,27,0.2222,3.512
2009,1.0,True,27,0.2222,5.597
2010,0.0,True,25,0.0,4.28
2010,0.5,True,23,0.4348,8.885
2010,1.0,True,24,0.2917,6.718
2011,0.0,False,,,44.516
2011,0.5,True,21,0.1429,11.636
2011,1.0,True,21,0.1429,5.805
2012,0.0,True,24,0.1667,1.477
2012,0.5,True,22,0.1364,2.801
2012,1.0,True,22,0.1364,4.226
2013,0.0,True,28,0.0,3.48
2013,0.5,True,30,0.1,12.26
2013,1.0,True,30,0.1,6.988
2014,0.0,True,28,0.1071,5.933
2014,0.5,True,28,0.1071,15.455
2014,1.0,True,28,0.1071,30.434
2015,0.0,True,27,0.0,16.492
2015,0.5,True,27,0.2222,5.086
2015,1.0,True,28,0.1429,2.816
2016,0.0,True,28,0.0,1.953
2016,0.5,True,28,0.0,6.126
2016,1.0,True,28,0.0,8.901
2017,0.0,True,22,0.1364,1.152
2017,0.5,True,23,0.3913,2.453
2017,1.0,True,25,0.28,6.501
2018,0.0,True,23,0.1304,2.239
2018,0.5,True,29,0.1034,3.91
2018,1.0,True,31,0.3226,2.539
2019,0.0,True,27,0.1111,1.578
2019,0.5,True,28,0.25,0.529
2019,1.0,True,28,0.25,0.576
2020,0.0,False,,,39.223
2020,0.5,True,29,0.1034,4.68
2020,1.0,True,21,0.1429,1.193
2021,0.0,True,26,0.2692,13.422
