display_id,group,n_raters,mean_human_rating,trigger_overlap,HLI_estimate
Bài giải #1,H,28,3.89,0.45714285714285713,0.13714285714285712
Bài giải #2,H,28,3.68,0.15555555555555556,0.04666666666666667
Bài giải #3,A+,28,3.96,0.4431818181818182,0.8329545454545454
Bài giải #4,A,28,3.54,0.543859649122807,0.8631578947368421
Bài giải #5,A+,28,3.71,0.4803921568627451,0.8441176470588234
Bài giải #6,H,28,3.86,0.175,0.0525
Bài giải #7,A,28,3.57,0.30120481927710846,0.7903614457831325
Bài giải #8,A,28,3.18,0.25301204819277107,0.7759036144578313
Bài giải #9,A+,28,3.43,0.3194444444444444,0.7958333333333333
Bài giải #10,B,28,2.61,0.0,0.0
Bài giải #11,A,28,3.5,0.12962962962962962,0.7388888888888888
Bài giải #12,B,28,2.32,0.0,0.0
Bài giải #13,A,28,3.5,0.37681159420289856,0.8130434782608695
Bài giải #14,A+,28,3.64,0.543859649122807,0.8631578947368421
Bài giải #15,B,28,2.21,0.0,0.0
Bài giải #16,B,28,2.07,0.0,0.0
Bài giải #17,A+,28,3.79,0.45098039215686275,0.8352941176470587
Bài giải #18,H,28,4.04,0.2535211267605634,0.07605633802816901
Bài giải #19,B,28,2.5,0.0,0.0
Bài giải #20,H,28,3.82,0.4307692307692308,0.12923076923076923
Bài giải #21,A,28,3.21,0.3194444444444444,0.7958333333333333
Bài giải #22,A+,28,3.75,0.37681159420289856,0.8130434782608695
Bài giải #23,B,28,2.5,0.0,0.0
Bài giải #24,H,28,3.96,0.22950819672131148,0.06885245901639345
