display_id,group,mean_human_rating,S,P,O,HLI_exact,HLI_old_proxy
Bài giải #1,H,3.89,1.0,0.5,0.45714285714285713,0.6371428571428571,0.13714285714285712
Bài giải #2,H,3.68,1.0,0.5,0.15555555555555556,0.5466666666666666,0.04666666666666667
Bài giải #3,A+,3.96,1.0,0.5,0.4431818181818182,0.6329545454545454,0.8329545454545454
Bài giải #4,A,3.54,1.0,1.0,0.543859649122807,0.8631578947368421,0.8631578947368421
Bài giải #5,A+,3.71,1.0,0.5,0.4803921568627451,0.6441176470588235,0.8441176470588234
Bài giải #6,H,3.86,1.0,1.0,0.175,0.7525,0.0525
Bài giải #7,A,3.57,1.0,0.5,0.30120481927710846,0.5903614457831325,0.7903614457831325
Bài giải #8,A,3.18,1.0,0.5,0.25301204819277107,0.5759036144578313,0.7759036144578313
Bài giải #9,A+,3.43,1.0,1.0,0.3194444444444444,0.7958333333333333,0.7958333333333333
Bài giải #10,B,2.61,0.0,0.0,0.0,0.0,0.0
Bài giải #11,A,3.5,1.0,1.0,0.12962962962962962,0.7388888888888888,0.7388888888888888
Bài giải #12,B,2.32,0.0,0.0,0.0,0.0,0.0
Bài giải #13,A,3.5,1.0,1.0,0.37681159420289856,0.8130434782608695,0.8130434782608695
Bài giải #14,A+,3.64,1.0,1.0,0.543859649122807,0.8631578947368421,0.8631578947368421
Bài giải #15,B,2.21,0.0,0.0,0.0,0.0,0.0
Bài giải #16,B,2.07,0.0,0.0,0.0,0.0,0.0
Bài giải #17,A+,3.79,1.0,0.5,0.45098039215686275,0.6352941176470588,0.8352941176470587
Bài giải #18,H,4.04,1.0,1.0,0.2535211267605634,0.776056338028169,0.07605633802816901
Bài giải #19,B,2.5,0.0,0.0,0.0,0.0,0.0
Bài giải #20,H,3.82,1.0,1.0,0.4307692307692308,0.8292307692307692,0.12923076923076923
Bài giải #21,A,3.21,1.0,1.0,0.3194444444444444,0.7958333333333333,0.7958333333333333
Bài giải #22,A+,3.75,1.0,1.0,0.37681159420289856,0.8130434782608695,0.8130434782608695
Bài giải #23,B,2.5,0.0,0.0,0.0,0.0,0.0
Bài giải #24,H,3.96,1.0,0.5,0.22950819672131148,0.5688524590163935,0.06885245901639345
