"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","5","","","intermediate","20_30"
"Bài giải #2","H","2","","","intermediate","20_30"
"Bài giải #3","A+","4","1","","intermediate","20_30"
"Bài giải #4","A","3","3","","intermediate","20_30"
"Bài giải #5","A+","2","","khó nói, để mặc định vậy","intermediate","20_30"
"Bài giải #6","H","4","","cái này chắc máy giải","intermediate","20_30"
"Bài giải #7","A","3","","","intermediate","20_30"
"Bài giải #8","A","2","","","intermediate","20_30"
"Bài giải #9","A+","3","","","intermediate","20_30"
"Bài giải #10","B","3","","","intermediate","20_30"
"Bài giải #11","A","5","","","intermediate","20_30"
"Bài giải #12","B","3","3","","intermediate","20_30"
"Bài giải #13","A","1","","","intermediate","20_30"
"Bài giải #14","A+","3","","","intermediate","20_30"
"Bài giải #15","B","5","","","intermediate","20_30"
"Bài giải #16","B","3","5","","intermediate","20_30"
"Bài giải #17","A+","3","","","intermediate","20_30"
"Bài giải #18","H","5","","","intermediate","20_30"
"Bài giải #19","B","4","5","mỏi mắt rồi, chấm đại","intermediate","20_30"
"Bài giải #20","H","4","4","","intermediate","20_30"
"Bài giải #21","A","1","4","","intermediate","20_30"
"Bài giải #22","A+","5","","","intermediate","20_30"
"Bài giải #23","B","4","2","","intermediate","20_30"
"Bài giải #24","H","2","","","intermediate","20_30"
