"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","3","","override lại tay quen thôi chứ ko chắc","advanced","20_30"
"Bài giải #2","H","4","","","advanced","20_30"
"Bài giải #3","A+","4","","","advanced","20_30"
"Bài giải #4","A","4","4","","advanced","20_30"
"Bài giải #5","A+","5","3","","advanced","20_30"
"Bài giải #6","H","5","","","advanced","20_30"
"Bài giải #7","A","3","","","advanced","20_30"
"Bài giải #8","A","3","","","advanced","20_30"
"Bài giải #9","A+","3","4","override lại tay quen thôi chứ ko chắc","advanced","20_30"
"Bài giải #10","B","1","","","advanced","20_30"
"Bài giải #11","A","4","3","","advanced","20_30"
"Bài giải #12","B","2","","","advanced","20_30"
"Bài giải #13","A","4","","tay quen nhìn phát biết luôn","advanced","20_30"
"Bài giải #14","A+","4","","hmm phân vân","advanced","20_30"
"Bài giải #15","B","2","1","","advanced","20_30"
"Bài giải #16","B","2","","","advanced","20_30"
"Bài giải #17","A+","3","","","advanced","20_30"
"Bài giải #18","H","2","","","advanced","20_30"
"Bài giải #19","B","4","2","","advanced","20_30"
"Bài giải #20","H","3","","","advanced","20_30"
"Bài giải #21","A","3","1","","advanced","20_30"
"Bài giải #22","A+","4","","","advanced","20_30"
"Bài giải #23","B","1","1","","advanced","20_30"
"Bài giải #24","H","5","","","advanced","20_30"
