"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","3","2","","intermediate","gt60"
"Bài giải #2","H","3","4","","intermediate","gt60"
"Bài giải #3","A+","3","3","override lại tay quen thôi chứ ko chắc","intermediate","gt60"
"Bài giải #4","A","2","2","","intermediate","gt60"
"Bài giải #5","A+","3","4","","intermediate","gt60"
"Bài giải #6","H","3","3","ko chắc lắm","intermediate","gt60"
"Bài giải #7","A","2","2","","intermediate","gt60"
"Bài giải #8","A","2","2","","intermediate","gt60"
"Bài giải #9","A+","3","3","","intermediate","gt60"
"Bài giải #10","B","4","2","","intermediate","gt60"
"Bài giải #11","A","3","3","search kiểu này ko giống người lắm","intermediate","gt60"
"Bài giải #12","B","3","2","","intermediate","gt60"
"Bài giải #13","A","4","3","","intermediate","gt60"
"Bài giải #14","A+","3","3","","intermediate","gt60"
"Bài giải #15","B","4","4","","intermediate","gt60"
"Bài giải #16","B","3","4","","intermediate","gt60"
"Bài giải #17","A+","4","4","","intermediate","gt60"
"Bài giải #18","H","4","4","","intermediate","gt60"
"Bài giải #19","B","5","5","","intermediate","gt60"
"Bài giải #20","H","4","5","nhìn máy móc quá","intermediate","gt60"
"Bài giải #21","A","3","3","","intermediate","gt60"
"Bài giải #22","A+","4","5","quá ngắn, chắc kociemba","intermediate","gt60"
"Bài giải #23","B","4","5","","intermediate","gt60"
"Bài giải #24","H","5","4","","intermediate","gt60"
