"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","4","5","","intermediate","30_60"
"Bài giải #2","H","4","5","","intermediate","30_60"
"Bài giải #3","A+","4","5","thấy hợp lý","intermediate","30_60"
"Bài giải #4","A","4","5","","intermediate","30_60"
"Bài giải #5","A+","5","4","","intermediate","30_60"
"Bài giải #6","H","4","4","","intermediate","30_60"
"Bài giải #7","A","4","5","override lại tay quen thôi chứ ko chắc","intermediate","30_60"
"Bài giải #8","A","4","4","","intermediate","30_60"
"Bài giải #9","A+","4","4","","intermediate","30_60"
"Bài giải #10","B","3","3","","intermediate","30_60"
"Bài giải #11","A","4","3","","intermediate","30_60"
"Bài giải #12","B","2","3","","intermediate","30_60"
"Bài giải #13","A","3","4","","intermediate","30_60"
"Bài giải #14","A+","5","5","","intermediate","30_60"
"Bài giải #15","B","2","2","","intermediate","30_60"
"Bài giải #16","B","2","4","","intermediate","30_60"
"Bài giải #17","A+","4","4","","intermediate","30_60"
"Bài giải #18","H","4","5","","intermediate","30_60"
"Bài giải #19","B","3","5","","intermediate","30_60"
"Bài giải #20","H","4","4","nhìn máy móc quá","intermediate","30_60"
"Bài giải #21","A","4","4","","intermediate","30_60"
"Bài giải #22","A+","5","3","","intermediate","30_60"
"Bài giải #23","B","2","4","cái finger trick quen thuộc","intermediate","30_60"
"Bài giải #24","H","4","5","","intermediate","30_60"
