"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","3","","","advanced","30_60"
"Bài giải #2","H","1","3","","advanced","30_60"
"Bài giải #3","A+","3","","","advanced","30_60"
"Bài giải #4","A","4","","","advanced","30_60"
"Bài giải #5","A+","3","1","","advanced","30_60"
"Bài giải #6","H","3","","","advanced","30_60"
"Bài giải #7","A","4","","","advanced","30_60"
"Bài giải #8","A","3","","","advanced","30_60"
"Bài giải #9","A+","2","","","advanced","30_60"
"Bài giải #10","B","5","3","","advanced","30_60"
"Bài giải #11","A","4","","","advanced","30_60"
"Bài giải #12","B","3","","","advanced","30_60"
"Bài giải #13","A","2","4","","advanced","30_60"
"Bài giải #14","A+","4","","","advanced","30_60"
"Bài giải #15","B","1","","","advanced","30_60"
"Bài giải #16","B","1","","","advanced","30_60"
"Bài giải #17","A+","5","","","advanced","30_60"
"Bài giải #18","H","4","","","advanced","30_60"
"Bài giải #19","B","2","2","","advanced","30_60"
"Bài giải #20","H","3","4","","advanced","30_60"
"Bài giải #21","A","3","5","","advanced","30_60"
"Bài giải #22","A+","1","","","advanced","30_60"
"Bài giải #23","B","4","","","advanced","30_60"
"Bài giải #24","H","5","","","advanced","30_60"
