"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","4","3","","beginner_cfop","15_20"
"Bài giải #2","H","3","1","","beginner_cfop","15_20"
"Bài giải #3","A+","4","3","","beginner_cfop","15_20"
"Bài giải #4","A","2","3","","beginner_cfop","15_20"
"Bài giải #5","A+","3","3","","beginner_cfop","15_20"
"Bài giải #6","H","4","4","","beginner_cfop","15_20"
"Bài giải #7","A","4","4","","beginner_cfop","15_20"
"Bài giải #8","A","4","3","","beginner_cfop","15_20"
"Bài giải #9","A+","2","3","","beginner_cfop","15_20"
"Bài giải #10","B","3","3","","beginner_cfop","15_20"
"Bài giải #11","A","3","5","","beginner_cfop","15_20"
"Bài giải #12","B","3","2","","beginner_cfop","15_20"
"Bài giải #13","A","3","3","","beginner_cfop","15_20"
"Bài giải #14","A+","5","3","","beginner_cfop","15_20"
"Bài giải #15","B","2","1","","beginner_cfop","15_20"
"Bài giải #16","B","1","1","","beginner_cfop","15_20"
"Bài giải #17","A+","4","1","","beginner_cfop","15_20"
"Bài giải #18","H","2","2","","beginner_cfop","15_20"
"Bài giải #19","B","3","2","","beginner_cfop","15_20"
"Bài giải #20","H","4","2","","beginner_cfop","15_20"
"Bài giải #21","A","2","3","","beginner_cfop","15_20"
"Bài giải #22","A+","3","2","","beginner_cfop","15_20"
"Bài giải #23","B","4","3","","beginner_cfop","15_20"
"Bài giải #24","H","4","5","","beginner_cfop","15_20"
