seed,scramble,A_reached,A_moves,A_time_s,A_segmentability,A_pattern_conformity,A_trigger_overlap,A_HLI,A_move_ratio,B_solved,B_moves,B_time_s,B_move_ratio
1000,L' B' R U' B D2 U' B' U2 B2 F U2 F L' D F2 L' F' D L',solved,62,2.4507,1.0,0.5,0.0,0.5,3.1,True,19,0.01809,0.95
1001,U' R L D R' U' B2 R2 F R U2 B L2 D2 L B' R F R B,solved,81,9.4208,1.0,0.5,0.10810810810810811,0.5324,4.05,True,22,0.06811,1.1
1002,R' B F R2 D U2 D2 F' B' U2 L' B L U' L2 F B2 U F D,solved,77,2.4518,1.0,0.5,0.1,0.53,3.85,True,21,0.02316,1.05
1003,R F2 D2 F L2 F' B' F2 B' F U L2 D2 U' B' F2 B' F2 U' R2,solved,54,2.0522,1.0,1.0,0.15789473684210525,0.7474,2.7,True,20,0.01043,1.0
1004,L' U' L2 B F2 L2 B' F2 L' D R L' R2 L' R D F2 L' U L2,solved,78,1.9564,1.0,0.5,0.0,0.5,3.9,True,21,0.08109,1.05
1005,R L R2 F B2 F R2 B L' D' F2 B2 L' U2 B' U' L R2 D2 F2,solved,68,2.5191,1.0,1.0,0.09375,0.7281,3.4,True,22,0.12301,1.1
1006,B2 U F B' U F R2 B D2 L' U R D R2 F2 R2 L D' L' U2,solved,78,1.906,1.0,0.5,0.0,0.5,3.9,True,21,0.04109,1.05
1007,U' R L' B U2 R2 D' L2 B2 R U2 F B2 U L' D B2 U B' L,solved,84,4.9161,1.0,0.5,0.11428571428571428,0.5343,4.2,True,22,0.09474,1.1
1008,R' F' D2 U' L2 R L2 U' D L' B2 R' U2 R' B' L U' L D2 L',solved,57,2.0119,1.0,1.0,0.1875,0.7562,2.85,True,21,0.05718,1.05
1009,D2 U B' U' L2 F2 B' R2 L' R2 U2 B2 R L' R L D F D' U',solved,71,2.853,1.0,0.5,0.0,0.5,3.55,True,20,0.06248,1.0
1010,F' B2 U' B F B U2 D2 B R' B2 R2 D U' R' B2 F2 L' F2 D2,solved,62,2.5181,1.0,1.0,0.0,0.7,3.1,True,19,0.01862,0.95
1011,B2 D' U B U2 L' F' B R B' F' B2 D' U2 D' B' L' D' R' L,solved,61,1.9416,1.0,1.0,0.0,0.7,3.05,True,21,0.04737,1.05
1012,B' U2 D2 B D L U F2 D' L' R' F B2 L D L' U2 B' F U,solved,47,1.8722,1.0,1.0,0.0,0.7,2.35,True,21,0.0582,1.05
1013,R L D' L2 R' B2 R L' R' B2 U2 L B U B R' L2 U B D,timeout,0,20.7954,0.0,0.0,0.0,0.0,0.0,True,20,0.04899,1.0
1014,R' U F D' U B F L' B L U2 B' F2 B' D' R B2 F L F',solved,58,2.0229,1.0,1.0,0.0,0.7,2.9,True,21,0.08439,1.05
1015,D R D' R2 L2 F' B2 L2 R L B' F D' B L B' R' D' B' L2,solved,75,2.8512,1.0,0.5,0.0,0.5,3.75,True,21,0.06051,1.05
1016,B2 L2 F B2 D2 L2 F2 U2 L' B' L' U' F2 R2 F' U B' F2 R2 L,solved,66,1.8594,1.0,1.0,0.0,0.7,3.3,True,19,0.03196,0.95
1017,R L2 B' F D R U' F2 D' U' F' D' R L R U L' D' R' F',solved,60,3.6307,1.0,1.0,0.0,0.7,3.0,True,21,0.02298,1.05
1018,L B' R F L2 U' L' D R B D2 F L2 R U2 R2 F2 L2 B2 F,timeout,0,20.0375,0.0,0.0,0.0,0.0,0.0,True,21,0.0432,1.05
1019,U' F2 D U' R D B' L F2 L' D R' L R' D' R F B D' F',solved,79,2.6488,1.0,0.5,0.125,0.5375,3.95,True,20,0.0402,1.0
1020,D U B' R F L U2 F' R U2 L D' F2 B F2 B2 D' R2 D' B,solved,64,7.87,1.0,1.0,0.0,0.7,3.2,True,21,0.0396,1.05
1021,R' F2 U2 L D R2 D' B2 F L F L' F D2 U' D' R F' D' U2,solved,47,4.267,1.0,1.0,0.0,0.7,2.35,True,19,0.03231,0.95
1022,D' B R2 B D2 U' R' F B2 L' B' U' L2 R' D2 F B U R D',solved,54,2.3434,1.0,1.0,0.13333333333333333,0.74,2.7,True,20,0.00608,1.0
1023,R B2 F' B' U2 B D' U L' R' F D2 R D2 F2 B F D' U' B2,timeout,0,20.9509,0.0,0.0,0.0,0.0,0.0,True,20,0.01368,1.0
1024,U B' R' F D2 R' L R' F2 U' B' F2 D2 R B2 R B2 D2 B R,timeout,0,20.3591,0.0,0.0,0.0,0.0,0.0,True,21,0.01483,1.05
1025,F U D F D2 F L' B' D B L2 D2 B' R2 D2 U2 L2 D' L2 U',solved,66,4.2372,1.0,1.0,0.14814814814814814,0.7444,3.3,True,21,0.05342,1.05
1026,U B' D' B L2 D' F L R' F B' L2 F2 D2 R F2 L2 F2 U' D',solved,62,1.8972,1.0,1.0,0.0,0.7,3.1,True,20,0.03815,1.0
1027,U D' R2 U' B2 R2 L2 R' F' D U R2 B R B2 F R' B' F2 R,solved,65,15.9886,1.0,1.0,0.0,0.7,3.25,True,22,0.09144,1.1
1028,L2 B F R' B' R2 D' R L2 D B' D2 B2 F R' D U D U' L',solved,73,3.6836,1.0,1.0,0.08571428571428572,0.7257,3.65,True,21,0.02294,1.05
1029,B L2 B F2 U2 L2 F2 B2 R' F2 R F R2 D' R F D2 R' U' F',timeout,0,20.7652,0.0,0.0,0.0,0.0,0.0,True,21,0.02131,1.05
1030,U' B R B U2 L' R' D B' R' F2 R' F R U' B' L' U2 R D,timeout,0,20.5925,0.0,0.0,0.0,0.0,0.0,True,21,0.0721,1.05
1031,R2 U D R' D2 F2 U R' L R2 D2 L' R' L2 D' B' R F B' D2,solved,63,3.9774,1.0,1.0,0.09090909090909091,0.7273,3.15,True,20,0.00178,1.0
1032,L B' F2 B R U2 F2 D B' D' L2 D U R2 D2 U F D' B F,solved,60,5.916,1.0,1.0,0.08571428571428572,0.7257,3.0,True,21,0.04294,1.05
1033,F L2 D' B' R2 U' L' U' L' B2 L' D U B R2 F U2 R L' U2,solved,80,2.1158,1.0,0.5,0.11764705882352941,0.5353,4.0,True,20,0.04322,1.0
1034,U' L' U' D' U' B U' F R F R D U2 F2 D2 U D2 U F' L,solved,69,3.0491,1.0,1.0,0.0,0.7,3.45,True,21,0.02257,1.05
1035,L2 U2 F' U2 D' U B U B2 L2 D F' D U F2 B D' R B D2,solved,101,4.2801,1.0,0.5,0.0967741935483871,0.529,5.05,True,21,0.04392,1.05
1036,L' B2 L2 B' R' U' L2 U' D U' F2 B' U2 D F2 D2 L R' U' L,solved,61,1.36,1.0,1.0,0.0,0.7,3.05,True,21,0.14089,1.05
1037,U2 B' L' F' L' U' D U F2 L' D' L D L' U2 R2 B R U B2,timeout,0,20.2571,0.0,0.0,0.0,0.0,0.0,True,21,0.03572,1.05
1038,D U' F' U2 D' F2 B' U B' L2 F' R U2 D U L R2 D' F' U',solved,68,1.7907,1.0,1.0,0.0,0.7,3.4,True,18,0.0069,0.9
1039,D2 F L' U' D F R2 L2 R F R2 U' D2 R U2 D U2 D U' F2,solved,58,3.8359,1.0,1.0,0.0,0.7,2.9,True,20,0.00593,1.0
1040,B U2 L B2 D L' D2 R' L' D' U R D' L D2 F' L R2 L R,solved,55,3.2638,1.0,1.0,0.25,0.775,2.75,True,20,0.01159,1.0
1041,L2 U2 B' F U F R U' F L2 U' L2 F L' R2 L R' F2 R' D,solved,85,10.8976,1.0,0.5,0.0,0.5,4.25,True,20,0.08908,1.0
1042,F' U2 F2 U R2 D2 R2 D' B' F D' R U2 B' F' U2 F2 L' U2 L2,solved,61,2.2098,1.0,1.0,0.0,0.7,3.05,True,19,0.01398,0.95
1043,B2 D2 B' D L' D R2 U F2 L' R2 D' L2 U2 R B2 D B' L2 D',solved,66,0.8779,1.0,1.0,0.0,0.7,3.3,True,22,0.14437,1.1
1044,F' D2 B' R B2 F' R B2 L R U R' D L2 U2 D2 B2 D B' F2,solved,66,1.5578,1.0,1.0,0.2,0.76,3.3,True,21,0.12107,1.05
1045,U' L2 B' L' R' L' R2 F B' F' R U' B' U2 F2 L2 F' R' F' L',timeout,0,20.1667,0.0,0.0,0.0,0.0,0.0,True,21,0.02341,1.05
1046,L2 B R F' U' F2 D2 R' D U2 R' L' R' U R' L B' R U2 R,solved,60,3.1312,1.0,1.0,0.1,0.73,3.0,True,19,0.01047,0.95
