seed,scramble,A_reached,A_moves,A_time_s,A_segmentability,A_pattern_conformity,A_trigger_overlap,A_HLI,A_move_ratio,B_solved,B_moves,B_time_s,B_move_ratio
5000,U R2 F2 D' R2 F2 D' F2 D B2 L B2 F2 D2 F L' B L D' R D,solved,69,11.0825,1.0,1.0,0.0,0.7,3.45,True,21,0.0294,1.05
5001,L2 D' U L2 B2 L2 U' F2 L2 D' L' R2 F' L' R F2 D L2 R' B2 F2,timeout,0,20.0468,0.0,0.0,0.0,0.0,0.0,True,21,0.01728,1.05
5002,F2 D2 B2 R2 D' U' R2 F2 R2 U' B' F U' L2 F D R U2 B2 L U2 R,solved,55,0.5512,1.0,1.0,0.14814814814814814,0.7444,2.75,True,22,0.12943,1.1
5003,D2 B2 F2 D' F2 R2 F2 D' L2 U' R' B' F L F R' F' U R2 D2 B',solved,76,1.6188,1.0,0.5,0.125,0.5375,3.8,True,21,0.01918,1.05
5004,L2 U2 F2 U R2 U2 B' D' B2 L D B D R' B2 D R' U',solved,60,0.9694,1.0,1.0,0.0,0.7,3.0,True,18,0.03836,0.9
5005,L2 U2 R2 F2 U L2 B2 R2 B2 D' R D F D2 U' B' R2 F2 L U F',solved,76,1.2324,1.0,0.5,0.0,0.5,3.8,True,21,0.02656,1.05
5006,D R2 B2 D F2 L2 D' U2 F2 U B D' L' F R2 D L' R2 U2 B' F,solved,68,3.061,1.0,0.5,0.0,0.5,3.4,True,21,0.02316,1.05
5007,U B2 U' F2 R2 U B2 R2 F2 L2 R U R B' R U L F2 L2 B' F2,solved,57,1.5026,1.0,1.0,0.0967741935483871,0.729,2.85,True,21,0.01732,1.05
5008,L2 D R2 B2 D2 U' R2 F2 D2 B R D L U' R' B D U B U2,timeout,0,20.1579,0.0,0.0,0.0,0.0,0.0,True,20,0.0108,1.0
5009,L2 R2 F2 L2 U F2 R2 U' F2 R2 F U' R2 U L' D' F' R F' U',solved,66,3.5269,1.0,1.0,0.08333333333333333,0.725,3.3,True,20,0.00333,1.0
5010,R2 F2 D2 B2 R2 U' F2 D F2 U' R' U2 F' U' L B2 F2 D2 U F2 R2,solved,60,2.8885,1.0,1.0,0.0,0.7,3.0,True,21,0.01829,1.05
5011,B2 U R2 F2 R2 B2 D U' B' L' U' B U2 F2 U' F L U',solved,70,1.2204,1.0,0.5,0.08823529411764706,0.5265,3.5,True,18,0.00136,0.9
5012,U R2 D' B2 F2 D L2 B2 D' B2 R F U2 R' D R2 U' R B' R,solved,68,1.249,1.0,0.5,0.25,0.575,3.4,True,20,0.00624,1.0
5013,U B2 F2 D2 U' F2 U2 B2 F2 U' B' U R' D2 L U' B2 R2 D L2 B',solved,81,1.4362,1.0,0.5,0.08823529411764706,0.5265,4.05,True,21,0.04443,1.05
5014,B2 D2 U F2 U' R2 F2 R2 B2 U B' D' U2 B' D2 L' B U2 R D2 U,solved,85,3.1442,1.0,0.5,0.0,0.5,4.25,True,21,0.00991,1.05
5015,F2 R2 U2 L2 F2 D2 R2 F2 D' U' F' R' B U' L2 B R D2 R2 D' R,solved,71,3.8316,1.0,0.5,0.09090909090909091,0.5273,3.55,True,21,0.01914,1.05
5016,L2 U F2 R2 U' F2 R2 U2 B2 L2 F R2 U' L' D' L2 R B' U2 F,solved,64,3.6254,1.0,1.0,0.1,0.73,3.2,True,20,0.0089,1.0
5017,U' L2 U2 R2 F2 U F2 U' R2 U2 F' R2 U' B L D' R B2 D' R2 U',solved,54,4.621,1.0,1.0,0.0,0.7,2.7,True,21,0.1425,1.05
5018,R2 B2 U' R2 D2 R2 B2 D' B2 D2 R U L' B' F2 U2 F' U F' L',timeout,0,20.4352,0.0,0.0,0.0,0.0,0.0,True,20,0.00519,1.0
5019,U' R2 D R2 D F2 D F2 L2 F2 R' B' R' U B2 R' B' U' F L2 R' U',solved,53,4.9368,1.0,1.0,0.0,0.7,2.65,True,22,0.043,1.1
5020,D' U' B2 D F2 R2 D' L2 F2 L2 R' B F D2 U F2 L D2 B' L',solved,62,0.9186,1.0,1.0,0.0,0.7,3.1,True,20,0.00528,1.0
5021,B2 F2 D' L2 R2 U' B2 D2 U' L' B' F R' B2 F U L' U2 L F',solved,59,2.7014,1.0,1.0,0.0,0.7,2.95,True,20,0.01414,1.0
5022,R2 D2 U F2 L2 D2 U' L2 B2 L2 F D2 R U B2 L U' L2 F R2 U,solved,77,1.1186,1.0,0.5,0.0,0.5,3.85,True,21,0.0073,1.05
5023,B2 U2 L2 R2 B2 D2 L2 U2 L' F R D' B2 F2 L2 U R F2 U,solved,63,3.1292,1.0,1.0,0.1875,0.7562,3.15,True,19,0.01482,0.95
5024,B2 D2 U' L2 B2 D' U2 B2 R2 F2 L' B' L2 R D' U' L R' B D' U,solved,57,0.4451,1.0,1.0,0.13333333333333333,0.74,2.85,True,21,0.01381,1.05
5025,B2 L2 D' F2 L2 U2 B2 D' B2 D F U2 B' L' F D2 L' U F' L F',solved,66,2.6318,1.0,1.0,0.0,0.7,3.3,True,21,0.02687,1.05
5026,D' F2 U' L2 U2 R2 U' R2 B2 R D B2 L' D' L' D2 B U2 F' U',solved,64,0.9081,1.0,1.0,0.0,0.7,3.2,True,20,0.00687,1.0
5027,F2 U2 B2 F2 U R2 F2 U2 B2 F' L2 R' U L B' U B D B2 U',solved,68,0.9773,1.0,1.0,0.0,0.7,3.4,True,20,0.01568,1.0
5028,D' B2 R2 B2 D' U' R2 D B2 U2 L' R D' B U' R' D B' F R' D' U',solved,66,2.4742,1.0,1.0,0.0,0.7,3.3,True,22,0.05807,1.1
5029,B2 D2 U L2 D F2 D L2 U' R2 F R' U2 L2 F' U' B L F2 D U,solved,61,1.223,1.0,1.0,0.1,0.73,3.05,True,21,0.00804,1.05
5030,D2 F2 U' B2 F2 D L2 U L2 D L B2 L B R F L' D' B D R',timeout,0,20.6373,0.0,0.0,0.0,0.0,0.0,True,21,0.01825,1.05
5031,U' L2 U' L2 F2 D2 L2 U L2 U R F' U' L2 U' B D' F2 R,solved,65,1.409,1.0,1.0,0.0,0.7,3.25,True,19,0.00126,0.95
5032,R2 D2 F2 U' R2 U F2 L2 U2 R2 B R2 D' F D R' D' R B L' B',solved,64,0.9735,1.0,1.0,0.0,0.7,3.2,True,21,0.05388,1.05
5033,D U' F2 U B2 L2 D' B2 R2 B2 F R B' D F R B2 L' R2 B2 U',solved,59,1.0533,1.0,1.0,0.0,0.7,2.95,True,21,0.00835,1.05
5034,U2 L2 B2 D' R2 U' B2 D B2 F D2 F' R D' F' D' L' R B R U2,timeout,0,20.5928,0.0,0.0,0.0,0.0,0.0,True,21,0.08886,1.05
5035,F2 U' F2 U F2 R2 D F2 R2 U B' U L2 R2 B2 D U' B U' R' D',solved,65,0.8613,1.0,1.0,0.0,0.7,3.25,True,21,0.04465,1.05
5036,D2 U' L2 D' U2 R2 U' L2 F2 U' B' U' R2 D' L U R' D2 L2 F U,solved,64,3.4852,1.0,1.0,0.08571428571428572,0.7257,3.2,True,21,0.01484,1.05
5037,B2 D2 L2 F2 D' B2 D B2 R2 B' R' D' U2 L' D2 F' U' L2 B' D',solved,73,1.0152,1.0,0.5,0.0,0.5,3.65,True,20,0.02713,1.0
5038,D' R2 D B2 U L2 R2 D2 B2 F2 L' U L' F R F2 R F' D2 R' U2,solved,56,4.5898,1.0,1.0,0.0,0.7,2.8,True,21,0.01058,1.05
5039,R2 F2 R2 U2 L2 D B2 D2 L2 U2 L F R2 B2 D' F2 D' B' F' D2 R U',timeout,0,20.5812,0.0,0.0,0.0,0.0,0.0,True,22,0.04361,1.1
5040,F2 D B2 L2 U B2 R2 U L2 U2 F' R' U2 L' F2 U2 B2 U' L2 U,solved,104,1.1675,1.0,0.5,0.0,0.5,5.2,True,20,0.00275,1.0
5041,R2 D' L2 F2 U2 B2 R2 U2 L2 D2 L F2 R' U B R' F R B U' F,solved,63,2.4169,1.0,1.0,0.09090909090909091,0.7273,3.15,True,21,0.04054,1.05
5042,U2 L2 R2 D B2 L2 D R2 D L2 F L D R' U2 F D2 F' D2 U' R U2,solved,68,1.4744,1.0,1.0,0.12121212121212122,0.7364,3.4,True,22,0.05276,1.1
5043,R2 F2 L2 D2 U' F2 U' B2 L2 D B' R D' L B' U R2 D' F R' U2,solved,69,1.1853,1.0,1.0,0.12121212121212122,0.7364,3.45,True,21,0.00675,1.05
5044,D2 B2 D' R2 B2 D' L2 U2 F2 U R' B U' L2 D' B' D U' R D U',solved,57,0.9175,1.0,1.0,0.21428571428571427,0.7643,2.85,True,21,0.01497,1.05
5045,D2 L2 F2 D' B2 R2 D R2 D2 U2 R' B2 D' F L2 F D' R F' D,solved,78,2.2231,1.0,0.5,0.09090909090909091,0.5273,3.9,True,20,0.00403,1.0
5046,R2 B2 F2 D L2 D2 B2 F2 R2 F U F' U2 B' L' U2 R2 U' B2 F2,f2l_partial,6,19.1258,0.0,0.0,0.0,0.0,0.3,True,20,0.0323,1.0
5047,F2 U' B2 F2 U F2 U2 L2 D' L2 B D2 R2 B L2 D F' R D L' R,f2l_partial,4,18.827,0.0,0.0,0.0,0.0,0.2,True,21,0.02009,1.05
5048,U B2 U L2 B2 D U B2 F2 R2 B U2 F2 R' B2 L R F' U B' U,solved,56,1.0719,1.0,1.0,0.12121212121212122,0.7364,2.8,True,21,0.01995,1.05
5049,D2 U' L2 F2 U' B2 D2 U' L2 U' R' U' F2 D2 B R2 F L' F2 D B2,solved,67,2.6669,1.0,1.0,0.11764705882352941,0.7353,3.35,True,21,0.08814,1.05
5050,U' F2 D' L2 R2 U F2 D F2 U' L U' B' F' U B R2 B' U2 B2 F2,solved,59,4.4649,1.0,1.0,0.0,0.7,2.95,True,21,0.04589,1.05
5051,D' L2 B2 D' F2 U2 B2 F2 U L2 R' U F2 L F U2 B' D' B' U L2 U',timeout,0,20.0338,0.0,0.0,0.0,0.0,0.0,True,22,0.05039,1.1
5052,D L2 B2 U B2 R2 D2 U' F2 D' B U R2 F U R' B' F L' B2 L,solved,73,1.6674,1.0,0.5,0.11764705882352941,0.5353,3.65,True,21,0.04917,1.05
5053,B2 U F2 D' B2 U2 F2 L2 D U2 R F' L2 D' B F2 U B2 R B',solved,62,0.7958,1.0,1.0,0.0,0.7,3.1,True,20,0.00539,1.0
5054,F2 L2 B2 L2 U L2 U B2 D U L U2 R' F' D U' B L' U2 B U',timeout,0,20.1219,0.0,0.0,0.0,0.0,0.0,True,21,0.01093,1.05
5055,D' B2 U' L2 F2 L2 F2 R2 D2 L D2 F D' L2 F2 U F2 U R' U2,timeout,0,20.1145,0.0,0.0,0.0,0.0,0.0,True,20,0.00972,1.0
5056,U2 B2 F2 D B2 R2 U2 L2 F L' F D2 F2 L2 R' F2 U' L' D',solved,84,5.3593,1.0,0.5,0.0,0.5,4.2,True,19,0.02337,0.95
5057,U' B2 R2 D B2 L2 D2 U' R2 U2 R D L2 U2 R2 B D2 R B F,solved,59,5.7593,1.0,1.0,0.0,0.7,2.95,True,20,0.00642,1.0
5058,U R2 D2 U' L2 D2 R2 F2 D' U' F' D' F2 L U2 L' F2 L F2 L2 F',timeout,0,20.1525,0.0,0.0,0.0,0.0,0.0,True,21,0.0392,1.05
5059,D2 R2 D R2 D B2 U B2 U' R F' U2 L' D R U2 R F U2 F,solved,60,1.5463,1.0,1.0,0.11764705882352941,0.7353,3.0,True,20,0.02614,1.0
